zip_code,studio,studio_monthly_income_rq,studio_yrly_income_rq,studio_hourly_wage_rq,1BR,1BR_monthly_income_rq,1BR_yrly_income_rq,1BR_hourly_wage_rq,2BR,2BR_monthly_income_rq,2BR_yrly_income_rq,2BR_hourly_wage_rq,3BR,3BR_monthly_income_rq,3BR_yrly_income_rq,3BR_hourly_wage_rq,4BR,4BR_monthly_income_rq,4BR_yrly_income_rq,4BR_hourly_wage_rq,common_key
33002,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33010,1150,3833,46000,22,1310,4366,52400,25,1630,5433,65200,31,2140,7133,85600,41,2540,8466,101600,48,0
33011,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33012,1230,4100,49200,23,1400,4666,56000,26,1740,5800,69600,33,2290,7633,91600,44,2710,9033,108400,52,0
33013,1150,3833,46000,22,1310,4366,52400,25,1630,5433,65200,31,2140,7133,85600,41,2540,8466,101600,48,0
33014,1390,4633,55600,26,1580,5266,63200,30,1960,6533,78400,37,2580,8600,103200,49,3050,10166,122000,58,0
33015,1490,4966,59600,28,1690,5633,67600,32,2100,7000,84000,40,2760,9200,110400,53,3270,10900,130800,62,0
33016,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33017,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33018,1660,5533,66400,31,1890,6300,75600,36,2350,7833,94000,45,3090,10300,123600,59,3660,12200,146400,70,0
33023,1200,4000,48000,23,1300,4333,52000,25,1620,5400,64800,31,2270,7566,90800,43,2760,9200,110400,53,0
33030,1090,3633,43600,20,1240,4133,49600,23,1540,5133,61600,29,2030,6766,81200,39,2400,8000,96000,46,0
33031,1170,3900,46800,22,1320,4400,52800,25,1650,5500,66000,31,2170,7233,86800,41,2570,8566,102800,49,0
33032,1280,4266,51200,24,1450,4833,58000,27,1800,6000,72000,34,2370,7900,94800,45,2810,9366,112400,54,0
33033,1100,3666,44000,21,1250,4166,50000,24,1550,5166,62000,29,2040,6800,81600,39,2420,8066,96800,46,0
33034,1130,3766,45200,21,1290,4300,51600,24,1600,5333,64000,30,2100,7000,84000,40,2490,8300,99600,47,0
33035,1500,5000,60000,28,1700,5666,68000,32,2120,7066,84800,40,2790,9300,111600,53,3300,11000,132000,63,0
33039,1140,3800,45600,21,1290,4300,51600,24,1600,5333,64000,30,2110,7033,84400,40,2500,8333,100000,48,0
33054,1050,3500,42000,20,1200,4000,48000,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33055,1370,4566,54800,26,1550,5166,62000,29,1930,6433,77200,37,2540,8466,101600,48,3010,10033,120400,57,0
33056,1350,4500,54000,25,1530,5100,61200,29,1900,6333,76000,36,2500,8333,100000,48,2960,9866,118400,56,0
33090,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33092,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33101,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33106,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33109,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33114,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33116,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33119,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33122,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33124,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33125,1210,4033,48400,23,1370,4566,54800,26,1710,5700,68400,32,2250,7500,90000,43,2670,8900,106800,51,0
33126,1430,4766,57200,27,1620,5400,64800,31,2020,6733,80800,38,2660,8866,106400,51,3150,10500,126000,60,0
33127,1060,3533,42400,20,1210,4033,48400,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33128,1050,3500,42000,20,1200,4000,48000,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33129,2020,6733,80800,38,2290,7633,91600,44,2850,9500,114000,54,3750,12500,150000,72,4440,14800,177600,85,0
33130,1270,4233,50800,24,1440,4800,57600,27,1790,5966,71600,34,2350,7833,94000,45,2790,9300,111600,53,0
33131,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33132,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33133,1480,4933,59200,28,1680,5600,67200,32,2090,6966,83600,40,2750,9166,110000,52,3260,10866,130400,62,0
33134,1510,5033,60400,29,1710,5700,68400,32,2130,7100,85200,40,2800,9333,112000,53,3320,11066,132800,63,0
33135,1170,3900,46800,22,1330,4433,53200,25,1650,5500,66000,31,2170,7233,86800,41,2570,8566,102800,49,0
33136,1050,3500,42000,20,1200,4000,48000,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33137,1760,5866,70400,33,1990,6633,79600,38,2480,8266,99200,47,3260,10866,130400,62,3870,12900,154800,74,0
33138,1080,3600,43200,20,1220,4066,48800,23,1520,5066,60800,29,2000,6666,80000,38,2370,7900,94800,45,0
33139,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33140,1750,5833,70000,33,1990,6633,79600,38,2470,8233,98800,47,3250,10833,130000,62,3850,12833,154000,74,0
33141,1570,5233,62800,30,1780,5933,71200,34,2220,7400,88800,42,2920,9733,116800,56,3460,11533,138400,66,0
33142,1070,3566,42800,20,1210,4033,48400,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33143,1520,5066,60800,29,1720,5733,68800,33,2140,7133,85600,41,2820,9400,112800,54,3340,11133,133600,64,0
33144,1380,4600,55200,26,1570,5233,62800,30,1950,6500,78000,37,2570,8566,102800,49,3040,10133,121600,58,0
33145,1500,5000,60000,28,1700,5666,68000,32,2120,7066,84800,40,2790,9300,111600,53,3300,11000,132000,63,0
33146,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33147,1110,3700,44400,21,1250,4166,50000,24,1560,5200,62400,30,2050,6833,82000,39,2430,8100,97200,46,0
33149,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33150,1050,3500,42000,20,1200,4000,48000,23,1510,5033,60400,29,2000,6666,80000,38,2370,7900,94800,45,0
33152,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33153,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33154,1810,6033,72400,34,2050,6833,82000,39,2550,8500,102000,49,3350,11166,134000,64,3970,13233,158800,76,0
33155,1610,5366,64400,30,1820,6066,72800,35,2270,7566,90800,43,2990,9966,119600,57,3540,11800,141600,68,0
33156,1730,5766,69200,33,1960,6533,78400,37,2440,8133,97600,46,3210,10700,128400,61,3800,12666,152000,73,0
33157,1220,4066,48800,23,1380,4600,55200,26,1720,5733,68800,33,2260,7533,90400,43,2680,8933,107200,51,0
33158,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33160,1710,5700,68400,32,1940,6466,77600,37,2410,8033,96400,46,3170,10566,126800,60,3760,12533,150400,72,0
33161,1250,4166,50000,24,1410,4700,56400,27,1760,5866,70400,33,2320,7733,92800,44,2740,9133,109600,52,0
33162,1160,3866,46400,22,1320,4400,52800,25,1640,5466,65600,31,2160,7200,86400,41,2560,8533,102400,49,0
33163,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33164,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33165,1430,4766,57200,27,1620,5400,64800,31,2020,6733,80800,38,2660,8866,106400,51,3150,10500,126000,60,0
33166,1340,4466,53600,25,1520,5066,60800,29,1890,6300,75600,36,2490,8300,99600,47,2950,9833,118000,56,0
33167,1210,4033,48400,23,1370,4566,54800,26,1710,5700,68400,32,2250,7500,90000,43,2670,8900,106800,51,0
33168,1300,4333,52000,25,1480,4933,59200,28,1840,6133,73600,35,2420,8066,96800,46,2870,9566,114800,55,0
33169,1210,4033,48400,23,1370,4566,54800,26,1710,5700,68400,32,2250,7500,90000,43,2670,8900,106800,51,0
33170,1210,4033,48400,23,1370,4566,54800,26,1710,5700,68400,32,2250,7500,90000,43,2670,8900,106800,51,0
33172,1570,5233,62800,30,1780,5933,71200,34,2220,7400,88800,42,2920,9733,116800,56,3460,11533,138400,66,0
33173,1590,5300,63600,30,1810,6033,72400,34,2250,7500,90000,43,2960,9866,118400,56,3510,11700,140400,67,0
33174,1320,4400,52800,25,1500,5000,60000,28,1870,6233,74800,35,2460,8200,98400,47,2910,9700,116400,55,0
33175,1640,5466,65600,31,1860,6200,74400,35,2320,7733,92800,44,3050,10166,122000,58,3620,12066,144800,69,0
33176,1450,4833,58000,27,1650,5500,66000,31,2050,6833,82000,39,2700,9000,108000,51,3200,10666,128000,61,0
33177,1230,4100,49200,23,1400,4666,56000,26,1740,5800,69600,33,2290,7633,91600,44,2710,9033,108400,52,0
33178,1910,6366,76400,36,2170,7233,86800,41,2700,9000,108000,51,3550,11833,142000,68,4210,14033,168400,80,0
33179,1340,4466,53600,25,1520,5066,60800,29,1890,6300,75600,36,2490,8300,99600,47,2950,9833,118000,56,0
33180,2010,6700,80400,38,2280,7600,91200,43,2840,9466,113600,54,3740,12466,149600,71,4430,14766,177200,85,0
33181,1240,4133,49600,23,1410,4700,56400,27,1750,5833,70000,33,2300,7666,92000,44,2730,9100,109200,52,0
33182,1840,6133,73600,35,2090,6966,83600,40,2600,8666,104000,50,3420,11400,136800,65,4050,13500,162000,77,0
33183,1490,4966,59600,28,1700,5666,68000,32,2110,7033,84400,40,2780,9266,111200,53,3290,10966,131600,63,0
33184,1580,5266,63200,30,1790,5966,71600,34,2230,7433,89200,42,2930,9766,117200,56,3480,11600,139200,66,0
33185,2040,6800,81600,39,2310,7700,92400,44,2880,9600,115200,55,3790,12633,151600,72,4490,14966,179600,86,0
33186,1690,5633,67600,32,1910,6366,76400,36,2380,7933,95200,45,3130,10433,125200,60,3710,12366,148400,71,0
33187,2000,6666,80000,38,2270,7566,90800,43,2820,9400,112800,54,3710,12366,148400,71,4400,14666,176000,84,0
33189,1300,4333,52000,25,1480,4933,59200,28,1840,6133,73600,35,2420,8066,96800,46,2870,9566,114800,55,0
33190,1370,4566,54800,26,1550,5166,62000,29,1930,6433,77200,37,2540,8466,101600,48,3010,10033,120400,57,0
33191,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33192,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33193,1440,4800,57600,27,1630,5433,65200,31,2030,6766,81200,39,2670,8900,106800,51,3160,10533,126400,60,0
33194,1880,6266,75200,36,2130,7100,85200,40,2650,8833,106000,50,3490,11633,139600,67,4130,13766,165200,79,0
33195,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33196,1860,6200,74400,35,2110,7033,84400,40,2630,8766,105200,50,3460,11533,138400,66,4100,13666,164000,78,0
33197,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33198,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33222,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33231,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33233,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33234,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33238,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33239,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33242,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33243,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33245,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33247,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33255,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33256,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33257,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33261,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33265,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33266,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33269,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33280,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33283,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
33296,1360,4533,54400,26,1540,5133,61600,29,1920,6400,76800,36,2530,8433,101200,48,2990,9966,119600,57,0
