zip_code,studio,1BR,2BR,3BR,4BR,studio_monthly_income_rq,1BR_monthly_income_rq,2BR_monthly_income_rq,3BR_monthly_income_rq,4BR_monthly_income_rq,studio_yrly_income_rq,1BR_yrly_income_rq,2BR_yrly_income_rq,3BR_yrly_income_rq,4BR_yrly_income_rq,studio_hourly_wage_rq_one_brdwnr,1BR_hourly_wage_rq_one_brdwnr,2BR_hourly_wage_rq_one_brdwnr,3BR_hourly_wage_rq_one_brdwnr,4BR_hourly_wage_rq_one_brdwnr,studio_hourly_wage_rq_two_brdwnrs,1BR_hourly_wage_rq_two_brdwnrs,2BR_hourly_wage_rq_two_brdwnrs,3BR_hourly_wage_rq_two_brdwnrs,4BR_hourly_wage_rq_two_brdwnrs
33002,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33010,1150,1310,1630,2140,2540,3833,4366,5433,7133,8466,46000,52400,65200,85600,101600,22,25,31,41,48,11,12,15,20,24
33011,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33012,1230,1400,1740,2290,2710,4100,4666,5800,7633,9033,49200,56000,69600,91600,108400,23,26,33,44,52,11,13,16,22,26
33013,1150,1310,1630,2140,2540,3833,4366,5433,7133,8466,46000,52400,65200,85600,101600,22,25,31,41,48,11,12,15,20,24
33014,1390,1580,1960,2580,3050,4633,5266,6533,8600,10166,55600,63200,78400,103200,122000,26,30,37,49,58,13,15,18,24,29
33015,1490,1690,2100,2760,3270,4966,5633,7000,9200,10900,59600,67600,84000,110400,130800,28,32,40,53,62,14,16,20,26,31
33016,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33017,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33018,1660,1890,2350,3090,3660,5533,6300,7833,10300,12200,66400,75600,94000,123600,146400,31,36,45,59,70,15,18,22,29,35
33023,1200,1300,1620,2270,2760,4000,4333,5400,7566,9200,48000,52000,64800,90800,110400,23,25,31,43,53,11,12,15,21,26
33030,1090,1240,1540,2030,2400,3633,4133,5133,6766,8000,43600,49600,61600,81200,96000,20,23,29,39,46,10,11,14,19,23
33031,1170,1320,1650,2170,2570,3900,4400,5500,7233,8566,46800,52800,66000,86800,102800,22,25,31,41,49,11,12,15,20,24
33032,1280,1450,1800,2370,2810,4266,4833,6000,7900,9366,51200,58000,72000,94800,112400,24,27,34,45,54,12,13,17,22,27
33033,1100,1250,1550,2040,2420,3666,4166,5166,6800,8066,44000,50000,62000,81600,96800,21,24,29,39,46,10,12,14,19,23
33034,1130,1290,1600,2100,2490,3766,4300,5333,7000,8300,45200,51600,64000,84000,99600,21,24,30,40,47,10,12,15,20,23
33035,1500,1700,2120,2790,3300,5000,5666,7066,9300,11000,60000,68000,84800,111600,132000,28,32,40,53,63,14,16,20,26,31
33039,1140,1290,1600,2110,2500,3800,4300,5333,7033,8333,45600,51600,64000,84400,100000,21,24,30,40,48,10,12,15,20,24
33054,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33055,1370,1550,1930,2540,3010,4566,5166,6433,8466,10033,54800,62000,77200,101600,120400,26,29,37,48,57,13,14,18,24,28
33056,1350,1530,1900,2500,2960,4500,5100,6333,8333,9866,54000,61200,76000,100000,118400,25,29,36,48,56,12,14,18,24,28
33090,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33092,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33101,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33106,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33109,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33114,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33116,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33119,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33122,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33124,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33125,1210,1370,1710,2250,2670,4033,4566,5700,7500,8900,48400,54800,68400,90000,106800,23,26,32,43,51,11,13,16,21,25
33126,1430,1620,2020,2660,3150,4766,5400,6733,8866,10500,57200,64800,80800,106400,126000,27,31,38,51,60,13,15,19,25,30
33127,1060,1210,1510,2000,2370,3533,4033,5033,6666,7900,42400,48400,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33128,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33129,2020,2290,2850,3750,4440,6733,7633,9500,12500,14800,80800,91600,114000,150000,177600,38,44,54,72,85,19,22,27,36,42
33130,1270,1440,1790,2350,2790,4233,4800,5966,7833,9300,50800,57600,71600,94000,111600,24,27,34,45,53,12,13,17,22,26
33131,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33132,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33133,1480,1680,2090,2750,3260,4933,5600,6966,9166,10866,59200,67200,83600,110000,130400,28,32,40,52,62,14,16,20,26,31
33134,1510,1710,2130,2800,3320,5033,5700,7100,9333,11066,60400,68400,85200,112000,132800,29,32,40,53,63,14,16,20,26,31
33135,1170,1330,1650,2170,2570,3900,4433,5500,7233,8566,46800,53200,66000,86800,102800,22,25,31,41,49,11,12,15,20,24
33136,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33137,1760,1990,2480,3260,3870,5866,6633,8266,10866,12900,70400,79600,99200,130400,154800,33,38,47,62,74,16,19,23,31,37
33138,1080,1220,1520,2000,2370,3600,4066,5066,6666,7900,43200,48800,60800,80000,94800,20,23,29,38,45,10,11,14,19,22
33139,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33140,1750,1990,2470,3250,3850,5833,6633,8233,10833,12833,70000,79600,98800,130000,154000,33,38,47,62,74,16,19,23,31,37
33141,1570,1780,2220,2920,3460,5233,5933,7400,9733,11533,62800,71200,88800,116800,138400,30,34,42,56,66,15,17,21,28,33
33142,1070,1210,1510,2000,2370,3566,4033,5033,6666,7900,42800,48400,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33143,1520,1720,2140,2820,3340,5066,5733,7133,9400,11133,60800,68800,85600,112800,133600,29,33,41,54,64,14,16,20,27,32
33144,1380,1570,1950,2570,3040,4600,5233,6500,8566,10133,55200,62800,78000,102800,121600,26,30,37,49,58,13,15,18,24,29
33145,1500,1700,2120,2790,3300,5000,5666,7066,9300,11000,60000,68000,84800,111600,132000,28,32,40,53,63,14,16,20,26,31
33146,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33147,1110,1250,1560,2050,2430,3700,4166,5200,6833,8100,44400,50000,62400,82000,97200,21,24,30,39,46,10,12,15,19,23
33149,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33150,1050,1200,1510,2000,2370,3500,4000,5033,6666,7900,42000,48000,60400,80000,94800,20,23,29,38,45,10,11,14,19,22
33152,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33153,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33154,1810,2050,2550,3350,3970,6033,6833,8500,11166,13233,72400,82000,102000,134000,158800,34,39,49,64,76,17,19,24,32,38
33155,1610,1820,2270,2990,3540,5366,6066,7566,9966,11800,64400,72800,90800,119600,141600,30,35,43,57,68,15,17,21,28,34
33156,1730,1960,2440,3210,3800,5766,6533,8133,10700,12666,69200,78400,97600,128400,152000,33,37,46,61,73,16,18,23,30,36
33157,1220,1380,1720,2260,2680,4066,4600,5733,7533,8933,48800,55200,68800,90400,107200,23,26,33,43,51,11,13,16,21,25
33158,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33160,1710,1940,2410,3170,3760,5700,6466,8033,10566,12533,68400,77600,96400,126800,150400,32,37,46,60,72,16,18,23,30,36
33161,1250,1410,1760,2320,2740,4166,4700,5866,7733,9133,50000,56400,70400,92800,109600,24,27,33,44,52,12,13,16,22,26
33162,1160,1320,1640,2160,2560,3866,4400,5466,7200,8533,46400,52800,65600,86400,102400,22,25,31,41,49,11,12,15,20,24
33163,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33164,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33165,1430,1620,2020,2660,3150,4766,5400,6733,8866,10500,57200,64800,80800,106400,126000,27,31,38,51,60,13,15,19,25,30
33166,1340,1520,1890,2490,2950,4466,5066,6300,8300,9833,53600,60800,75600,99600,118000,25,29,36,47,56,12,14,18,23,28
33167,1210,1370,1710,2250,2670,4033,4566,5700,7500,8900,48400,54800,68400,90000,106800,23,26,32,43,51,11,13,16,21,25
33168,1300,1480,1840,2420,2870,4333,4933,6133,8066,9566,52000,59200,73600,96800,114800,25,28,35,46,55,12,14,17,23,27
33169,1210,1370,1710,2250,2670,4033,4566,5700,7500,8900,48400,54800,68400,90000,106800,23,26,32,43,51,11,13,16,21,25
33170,1210,1370,1710,2250,2670,4033,4566,5700,7500,8900,48400,54800,68400,90000,106800,23,26,32,43,51,11,13,16,21,25
33172,1570,1780,2220,2920,3460,5233,5933,7400,9733,11533,62800,71200,88800,116800,138400,30,34,42,56,66,15,17,21,28,33
33173,1590,1810,2250,2960,3510,5300,6033,7500,9866,11700,63600,72400,90000,118400,140400,30,34,43,56,67,15,17,21,28,33
33174,1320,1500,1870,2460,2910,4400,5000,6233,8200,9700,52800,60000,74800,98400,116400,25,28,35,47,55,12,14,17,23,27
33175,1640,1860,2320,3050,3620,5466,6200,7733,10166,12066,65600,74400,92800,122000,144800,31,35,44,58,69,15,17,22,29,34
33176,1450,1650,2050,2700,3200,4833,5500,6833,9000,10666,58000,66000,82000,108000,128000,27,31,39,51,61,13,15,19,25,30
33177,1230,1400,1740,2290,2710,4100,4666,5800,7633,9033,49200,56000,69600,91600,108400,23,26,33,44,52,11,13,16,22,26
33178,1910,2170,2700,3550,4210,6366,7233,9000,11833,14033,76400,86800,108000,142000,168400,36,41,51,68,80,18,20,25,34,40
33179,1340,1520,1890,2490,2950,4466,5066,6300,8300,9833,53600,60800,75600,99600,118000,25,29,36,47,56,12,14,18,23,28
33180,2010,2280,2840,3740,4430,6700,7600,9466,12466,14766,80400,91200,113600,149600,177200,38,43,54,71,85,19,21,27,35,42
33181,1240,1410,1750,2300,2730,4133,4700,5833,7666,9100,49600,56400,70000,92000,109200,23,27,33,44,52,11,13,16,22,26
33182,1840,2090,2600,3420,4050,6133,6966,8666,11400,13500,73600,83600,104000,136800,162000,35,40,50,65,77,17,20,25,32,38
33183,1490,1700,2110,2780,3290,4966,5666,7033,9266,10966,59600,68000,84400,111200,131600,28,32,40,53,63,14,16,20,26,31
33184,1580,1790,2230,2930,3480,5266,5966,7433,9766,11600,63200,71600,89200,117200,139200,30,34,42,56,66,15,17,21,28,33
33185,2040,2310,2880,3790,4490,6800,7700,9600,12633,14966,81600,92400,115200,151600,179600,39,44,55,72,86,19,22,27,36,43
33186,1690,1910,2380,3130,3710,5633,6366,7933,10433,12366,67600,76400,95200,125200,148400,32,36,45,60,71,16,18,22,30,35
33187,2000,2270,2820,3710,4400,6666,7566,9400,12366,14666,80000,90800,112800,148400,176000,38,43,54,71,84,19,21,27,35,42
33189,1300,1480,1840,2420,2870,4333,4933,6133,8066,9566,52000,59200,73600,96800,114800,25,28,35,46,55,12,14,17,23,27
33190,1370,1550,1930,2540,3010,4566,5166,6433,8466,10033,54800,62000,77200,101600,120400,26,29,37,48,57,13,14,18,24,28
33191,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33192,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33193,1440,1630,2030,2670,3160,4800,5433,6766,8900,10533,57600,65200,81200,106800,126400,27,31,39,51,60,13,15,19,25,30
33194,1880,2130,2650,3490,4130,6266,7100,8833,11633,13766,75200,85200,106000,139600,165200,36,40,50,67,79,18,20,25,33,39
33195,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33196,1860,2110,2630,3460,4100,6200,7033,8766,11533,13666,74400,84400,105200,138400,164000,35,40,50,66,78,17,20,25,33,39
33197,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33198,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33222,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33231,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33233,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33234,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33238,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33239,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33242,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33243,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33245,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33247,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33255,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33256,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33257,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33261,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33265,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33266,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33269,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33280,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33283,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33296,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
